"Data Source","World Development Indicators",

"Last Updated Date","2016-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Ethiopia","ETH","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","177000000","170000000","157000000","152000000","176000000","205000000","218000000","261000000","336000000","458000000","533000000","639000000","790000000","1184000000","1119000000","1434000000","1998000000","1980000000","","","",
"European Union","EUU","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215716793000","227008330000","220363100000","233129400000","242639000000","238222000000","236107000000","250643000000","292548000000","339532000000","356975000000","389900000000","443738000000","476947000000","410708000000","407831000000","462720000000","443625000000","475169000000","","",
"Fragile and conflict affected situations","FCS","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3566880427.98131","3609032641.3769","3722468599.13197","4080700657.45893","3608220833.77553","3542908383.43494","3435541087.02138","7194083579.0708","10065127272.6413","10645833127.7282","11086708184.704","11220583294.5279","13669179022.188","15699645140.0056","17906249641.0468","22164956125.3396","16176141657.7372","17800083492.6884","17728681063.4085","","",
"Finland","FIN","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2383000000","2408000000","2358000000","2371000000","2236000000","2035000000","2065000000","2235000000","2676000000","2975000000","3069000000","3515000000","4287000000","4873000000","4104000000","4510000000","5591000000","5415000000","5741000000","","",
"Fiji","FJI","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","369000000","374000000","386000000","309000000","365000000","291000000","316000000","384000000","496000000","588000000","722000000","684000000","722000000","952000000","688000000","825000000","955000000","989000000","971000000","","",
"France","FRA","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31295000000","32088000000","27402000000","29490000000","37770000000","38534000000","38385000000","40537000000","45990000000","52108000000","51691000000","54450000000","63701000000","67779000000","58857000000","56139000000","65959000000","63884000000","66064000000","","",
"Faeroe Islands","FRO","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16000000","13000000","14000000","17000000","15000000","17000000","17000000","19000000","21000000","23000000","25000000","27000000","22000000","24000000","22000000","22000000","24000000","","",
"Gabon","GAB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94000000","91000000","103000000","110000000","143000000","99000000","46000000","77000000","84000000","74000000","13000000","","","","","","","","","","",
"United Kingdom","GBR","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27577000000","29181000000","30483000000","31658000000","30807000000","29978000000","26137000000","27819000000","30736000000","37166000000","39411000000","43803000000","48193000000","46285000000","38564000000","40746000000","45940000000","45730000000","49404000000","","",
"Georgia","GEO","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75000000","229000000","131000000","107000000","136000000","144000000","172000000","209000000","287000000","361000000","440000000","505000000","537000000","737000000","1069000000","1565000000","1916000000","","",
